unique_id,ds,y
andhra pradesh,2021-06-01,2450096.0
andhra pradesh,2021-07-01,2909408.0
andhra pradesh,2021-08-01,2927459.0
andhra pradesh,2021-09-01,2896302.0
andhra pradesh,2021-10-01,2649451.0
andhra pradesh,2021-11-01,2736451.0
andhra pradesh,2021-12-01,3308195.0
andhra pradesh,2022-01-01,2981980.0
andhra pradesh,2022-02-01,2979796.0
andhra pradesh,2022-03-01,3325577.0
andhra pradesh,2022-04-01,3152359.0
andhra pradesh,2022-05-01,3046959.0
andhra pradesh,2022-06-01,3187140.0
andhra pradesh,2022-07-01,3333850.0
andhra pradesh,2022-08-01,3368699.0
andhra pradesh,2022-09-01,3545613.0
andhra pradesh,2022-10-01,3293772.0
andhra pradesh,2022-11-01,3567225.0
andhra pradesh,2022-12-01,3879169.0
andhra pradesh,2023-01-01,3480045.0
andhra pradesh,2023-02-01,3458650.0
andhra pradesh,2023-03-01,3765565.0
andhra pradesh,2023-04-01,3495503.0
andhra pradesh,2023-05-01,3658365.0
andhra pradesh,2023-06-01,3679369.0
andhra pradesh,2023-07-01,3685103.0
andhra pradesh,2023-08-01,3947738.0
andhra pradesh,2023-09-01,3770125.0
andhra pradesh,2023-10-01,3991671.0
andhra pradesh,2023-11-01,3845663.0
andhra pradesh,2023-12-01,4055661.0
andhra pradesh,2024-01-01,3811249.0
andhra pradesh,2024-02-01,3883815.0
andhra pradesh,2024-03-01,4071517.0
andhra pradesh,2024-04-01,3714176.0
andhra pradesh,2024-05-01,3816490.0
andhra pradesh,2024-06-01,3731468.0
andhra pradesh,2024-07-01,3946613.0
andhra pradesh,2024-08-01,4029180.0
andhra pradesh,2024-09-01,3905697.0
andhra pradesh,2024-10-01,4206384.0
andhra pradesh,2024-11-01,4119921.0
andhra pradesh,2024-12-01,4320553.0
andhra pradesh,2025-01-01,4320939.0
andhra pradesh,2025-02-01,4065829.0
andhra pradesh,2025-03-01,4460401.0
andhra pradesh,2025-04-01,4239243.0
andhra pradesh,2025-05-01,4379757.0
andhra pradesh,2025-06-01,4295840.0
andhra pradesh,2025-07-01,4814671.0
andhra pradesh,2025-08-01,4616300.0
andhra pradesh,2025-09-01,4839329.0
andhra pradesh,2025-10-01,4756130.0
andhra pradesh,2025-11-01,5080862.0
andhra pradesh,2025-12-01,5516277.0
andhra pradesh,2026-01-01,5099869.0
andhra pradesh,2026-02-01,4932279.0
andhra pradesh,2026-03-01,5350270.0
andhra pradesh,2026-04-01,5060498.0
andhra pradesh,2026-05-01,5085113.0
andhra pradesh,2026-06-01,5077007.0
andhra pradesh,2026-07-01,5372598.0
arunachal pradesh,2018-07-01,19147.0
arunachal pradesh,2018-08-01,23643.0
arunachal pradesh,2018-09-01,23922.0
arunachal pradesh,2018-10-01,24441.0
arunachal pradesh,2018-11-01,25783.0
arunachal pradesh,2018-12-01,25701.0
arunachal pradesh,2019-01-01,26647.0
arunachal pradesh,2019-02-01,23439.0
arunachal pradesh,2019-03-01,31709.0
arunachal pradesh,2019-04-01,24849.0
arunachal pradesh,2019-05-01,27909.0
arunachal pradesh,2019-06-01,26664.0
arunachal pradesh,2019-07-01,26470.0
arunachal pradesh,2019-08-01,28677.0
arunachal pradesh,2019-09-01,32075.0
arunachal pradesh,2019-10-01,30710.0
arunachal pradesh,2019-11-01,34110.0
arunachal pradesh,2019-12-01,27394.0
arunachal pradesh,2020-01-01,31066.0
arunachal pradesh,2020-02-01,33163.0
arunachal pradesh,2020-03-01,29205.2
arunachal pradesh,2020-04-01,25247.4
arunachal pradesh,2020-05-01,21289.6
arunachal pradesh,2020-06-01,17331.8
arunachal pradesh,2020-07-01,13374.0
arunachal pradesh,2020-08-01,25632.0
arunachal pradesh,2020-09-01,29586.0
arunachal pradesh,2020-10-01,31920.0
arunachal pradesh,2020-11-01,32598.0
arunachal pradesh,2020-12-01,34307.0
arunachal pradesh,2021-01-01,33885.0
arunachal pradesh,2021-02-01,35183.0
arunachal pradesh,2021-03-01,38979.0
arunachal pradesh,2021-04-01,36092.0
arunachal pradesh,2021-05-01,21434.0
arunachal pradesh,2021-06-01,27457.0
arunachal pradesh,2021-07-01,31827.0
arunachal pradesh,2021-08-01,33347.0
arunachal pradesh,2021-09-01,37900.0
arunachal pradesh,2021-10-01,36288.0
arunachal pradesh,2021-11-01,37399.0
arunachal pradesh,2021-12-01,39215.0
arunachal pradesh,2022-01-01,36928.0
arunachal pradesh,2022-02-01,38287.0
arunachal pradesh,2022-03-01,48505.0
arunachal pradesh,2022-04-01,42873.0
arunachal pradesh,2022-05-01,43427.0
arunachal pradesh,2022-06-01,43071.0
arunachal pradesh,2022-07-01,43893.0
arunachal pradesh,2022-08-01,45210.0
arunachal pradesh,2022-09-01,45428.0
arunachal pradesh,2022-10-01,39465.0
arunachal pradesh,2022-11-01,47682.0
arunachal pradesh,2022-12-01,47897.0
arunachal pradesh,2023-01-01,44665.0
arunachal pradesh,2023-02-01,44355.0
arunachal pradesh,2023-03-01,59606.0
arunachal pradesh,2023-04-01,51876.0
arunachal pradesh,2023-05-01,52905.0
arunachal pradesh,2023-06-01,51595.0
arunachal pradesh,2023-07-01,47807.0
arunachal pradesh,2023-08-01,51171.0
arunachal pradesh,2023-09-01,53283.0
arunachal pradesh,2023-10-01,52717.0
arunachal pradesh,2023-11-01,51408.0
arunachal pradesh,2023-12-01,54699.0
arunachal pradesh,2024-01-01,50674.0
arunachal pradesh,2024-02-01,53301.0
arunachal pradesh,2024-03-01,63695.0
arunachal pradesh,2024-04-01,48750.0
arunachal pradesh,2024-05-01,59467.0
arunachal pradesh,2024-06-01,50947.0
arunachal pradesh,2024-07-01,50321.0
arunachal pradesh,2024-08-01,53847.0
arunachal pradesh,2024-09-01,53500.0
arunachal pradesh,2024-10-01,50434.0
arunachal pradesh,2024-11-01,52075.0
arunachal pradesh,2024-12-01,55445.0
arunachal pradesh,2025-01-01,55391.0
arunachal pradesh,2025-02-01,54205.0
arunachal pradesh,2025-03-01,70965.0
arunachal pradesh,2025-04-01,65982.0
arunachal pradesh,2025-05-01,66635.0
arunachal pradesh,2025-06-01,61078.0
arunachal pradesh,2025-07-01,67862.0
arunachal pradesh,2025-08-01,67150.0
arunachal pradesh,2025-09-01,64969.0
arunachal pradesh,2025-10-01,63912.0
arunachal pradesh,2025-11-01,67139.0
arunachal pradesh,2025-12-01,70948.0
arunachal pradesh,2026-01-01,68167.0
arunachal pradesh,2026-02-01,69837.0
arunachal pradesh,2026-03-01,79624.0
arunachal pradesh,2026-04-01,64257.0
arunachal pradesh,2026-05-01,70548.0
arunachal pradesh,2026-06-01,66786.0
arunachal pradesh,2026-07-01,74746.0
assam,2018-07-01,601740.0
assam,2018-08-01,711703.0
assam,2018-09-01,733088.0
assam,2018-10-01,697937.0
assam,2018-11-01,713931.0
assam,2018-12-01,707889.0
assam,2019-01-01,716982.0
assam,2019-02-01,752854.0
assam,2019-03-01,854406.0
assam,2019-04-01,782542.0
assam,2019-05-01,848284.0
assam,2019-06-01,748341.0
assam,2019-07-01,744012.0
assam,2019-08-01,849817.0
assam,2019-09-01,837472.0
assam,2019-10-01,756525.0
assam,2019-11-01,829840.0
